fecha,cod_distrito,distrito,num_personas,geometry
2022,2,Arganzuela,152638,POINT (-411603.817208129 4924079.793666258)
2022,3,Retiro,117672,POINT (-409288.37179962895 4925848.667118731)
2022,4,Salamanca,145457,POINT (-409433.0871376602 4928583.006342677)
2022,5,Chamartín,144371,POINT (-409444.2190867395 4931815.478580106)
2022,6,Tetuán,157433,POINT (-412249.4702547301 4932751.777624055)
2022,7,Chamberí,137287,POINT (-412293.99805104727 4929153.365411701)
2022,8,Fuencarral-El Pardo,246281,POINT (-412817.19965777575 4939176.60971017)
2022,9,Moncloa-Aravaca,120360,POINT (-414999.06167732395 4929811.5131371515)
2022,10,Latina,237048,POINT (-416891.49302080955 4923758.214469633)
2022,11,Carabanchel,255514,POINT (-416435.0831085571 4921653.591873515)
2022,12,Usera,140808,POINT (-412683.6162688238 4921463.6133657945)
2022,13,Puente de Vallecas,235638,POINT (-407674.2391831264 4922062.788804204)
2022,14,Moratalaz,92390,POINT (-405804.07173779944 4925351.596174395)
2022,15,Ciudad Lineal,213905,POINT (-406505.3845297971 4930893.896298119)
2022,16,Hortaleza,195017,POINT (-405837.4675850375 4935151.451127524)
2022,17,Villaverde,153829,POINT (-411002.69195784535 4915488.468024191)
2022,18,Villa de Vallecas,114817,POINT (-403855.9806489172 4920645.286316011)
2022,19,Vicálvaro,79328,POINT (-400861.4863465781 4924357.529610967)
2022,20,San Blas-Canillejas,158783,POINT (-402486.7509121599 4930045.531833049)
2022,21,Barajas,48404,POINT (-398468.11729452276 4934756.34263267)
2023,1,Centro,139687,POINT (-412316.261949206 4926652.8056437345)
2023,2,Arganzuela,153304,POINT (-411603.817208129 4924079.793666258)
2023,3,Retiro,117918,POINT (-409288.37179962895 4925848.667118731)
2023,4,Salamanca,145702,POINT (-409433.0871376602 4928583.006342677)
2023,5,Chamartín,144796,POINT (-409444.2190867395 4931815.478580106)
2023,6,Tetuán,160002,POINT (-412249.4702547301 4932751.777624055)
2023,7,Chamberí,138204,POINT (-412293.99805104727 4929153.365411701)
2023,8,Fuencarral-El Pardo,248443,POINT (-412817.19965777575 4939176.60971017)
2023,9,Moncloa-Aravaca,121757,POINT (-414999.06167732395 4929811.5131371515)
2023,10,Latina,241672,POINT (-416891.49302080955 4923758.214469633)
2023,11,Carabanchel,262339,POINT (-416435.0831085571 4921653.591873515)
2023,12,Usera,142746,POINT (-412683.6162688238 4921463.6133657945)
2023,13,Puente de Vallecas,241603,POINT (-407674.2391831264 4922062.788804204)
2023,14,Moratalaz,92814,POINT (-405804.07173779944 4925351.596174395)
2023,15,Ciudad Lineal,220345,POINT (-406505.3845297971 4930893.896298119)
2023,16,Hortaleza,198391,POINT (-405837.4675850375 4935151.451127524)
2023,17,Villaverde,159038,POINT (-411002.69195784535 4915488.468024191)
2023,18,Villa de Vallecas,117501,POINT (-403855.9806489172 4920645.286316011)
2023,19,Vicálvaro,83804,POINT (-400861.4863465781 4924357.529610967)
2023,20,San Blas-Canillejas,161219,POINT (-402486.7509121599 4930045.531833049)
2023,21,Barajas,48646,POINT (-398468.11729452276 4934756.34263267)
2024,1,Centro,145411,POINT (-412316.261949206 4926652.8056437345)
2024,2,Arganzuela,156559,POINT (-411603.817208129 4924079.793666258)
2024,3,Retiro,119757,POINT (-409288.37179962895 4925848.667118731)
2024,4,Salamanca,149778,POINT (-409433.0871376602 4928583.006342677)
2024,5,Chamartín,148111,POINT (-409444.2190867395 4931815.478580106)
2024,6,Tetuán,166211,POINT (-412249.4702547301 4932751.777624055)
2024,7,Chamberí,141984,POINT (-412293.99805104727 4929153.365411701)
2024,8,Fuencarral-El Pardo,253898,POINT (-412817.19965777575 4939176.60971017)
2024,9,Moncloa-Aravaca,125223,POINT (-414999.06167732395 4929811.5131371515)
2024,10,Latina,250396,POINT (-416891.49302080955 4923758.214469633)
2024,11,Carabanchel,274406,POINT (-416435.0831085571 4921653.591873515)
2024,12,Usera,149113,POINT (-412683.6162688238 4921463.6133657945)
2024,13,Puente de Vallecas,253048,POINT (-407674.2391831264 4922062.788804204)
2024,14,Moratalaz,95123,POINT (-405804.07173779944 4925351.596174395)
2024,15,Ciudad Lineal,230035,POINT (-406505.3845297971 4930893.896298119)
2024,16,Hortaleza,205182,POINT (-405837.4675850375 4935151.451127524)
2024,17,Villaverde,167952,POINT (-411002.69195784535 4915488.468024191)
2024,18,Villa de Vallecas,122337,POINT (-403855.9806489172 4920645.286316011)
2024,19,Vicálvaro,89772,POINT (-400861.4863465781 4924357.529610967)
2024,20,San Blas-Canillejas,166583,POINT (-402486.7509121599 4930045.531833049)
2024,21,Barajas,49612,POINT (-398468.11729452276 4934756.34263267)
